init from runs/ssl/ssl.pt []
{"epoch": 1, "loss": 0.4971024540066719, "lr": 0.0003135532623851087, "val_macro_f1": 0.036922222924714615, "val_micro_f1": 0.03840557788437991, "elapsed_min": 0.05293716192245483}
{"epoch": 25, "loss": 0.030409642476588488, "lr": 0.002172422125148875, "val_macro_f1": 0.5517724759819439, "val_micro_f1": 0.5910696266397578, "elapsed_min": 0.40319108168284096}
{"epoch": 26, "loss": 0.03023259811103344, "lr": 0.002093321880571432, "val_macro_f1": 0.5526155665076156, "val_micro_f1": 0.5912074303405572, "elapsed_min": 0.41800870100657145}
{"epoch": 27, "loss": 0.02965274518355727, "lr": 0.002012214042863849, "val_macro_f1": 0.5501847856047051, "val_micro_f1": 0.5911072362685266, "elapsed_min": 0.4330819328625997}
{"epoch": 28, "loss": 0.029553168192505835, "lr": 0.0019293730552748477, "val_macro_f1": 0.5509264613495949, "val_micro_f1": 0.5903735271997995, "elapsed_min": 0.44783791700998943}
{"epoch": 29, "loss": 0.029103315994143487, "lr": 0.0018450792254837336, "val_macro_f1": 0.5511695497687294, "val_micro_f1": 0.5898640296662546, "elapsed_min": 0.46265092690785725}
{"epoch": 30, "loss": 0.028928081654012203, "lr": 0.0017596177771279362, "val_macro_f1": 0.5514741703828977, "val_micro_f1": 0.5856568854255448, "elapsed_min": 0.4767361601193746}
{"epoch": 31, "loss": 0.02875133292749524, "lr": 0.001673277884696508, "val_macro_f1": 0.5501557968914537, "val_micro_f1": 0.5895046591466404, "elapsed_min": 0.4907346606254578}
{"epoch": 32, "loss": 0.028368479888886213, "lr": 0.0015863516950551894, "val_macro_f1": 0.5502668552500454, "val_micro_f1": 0.6017811704834607, "elapsed_min": 0.5047302842140198}
{"epoch": 33, "loss": 0.028114723972976208, "lr": 0.0014991333389138886, "val_macro_f1": 0.5531120693676566, "val_micro_f1": 0.6046033174746046, "elapsed_min": 0.51878449122111}
{"epoch": 34, "loss": 0.02849671948701143, "lr": 0.0014119179355814697, "val_macro_f1": 0.5530825924503735, "val_micro_f1": 0.6019540667427992, "elapsed_min": 0.5330848495165507}
{"epoch": 35, "loss": 0.028140396047383547, "lr": 0.0013250005943754228, "val_macro_f1": 0.5534435042691082, "val_micro_f1": 0.6064696892511463, "elapsed_min": 0.547150456905365}
{"epoch": 36, "loss": 0.027945791464298965, "lr": 0.001238675416065355, "val_macro_f1": 0.5529046751349652, "val_micro_f1": 0.5960940415474562, "elapsed_min": 0.5615692098935445}
{"epoch": 37, "loss": 0.027939355205744504, "lr": 0.001153234497729076, "val_macro_f1": 0.5527232902113138, "val_micro_f1": 0.6086392528213777, "elapsed_min": 0.5756776611010234}
{"epoch": 38, "loss": 0.027498546969145537, "lr": 0.0010689669443885513, "val_macro_f1": 0.5518757623738824, "val_micro_f1": 0.6090885618383682, "elapsed_min": 0.5897614121437073}
{"epoch": 39, "loss": 0.02760680381208658, "lr": 0.0009861578907700193, "val_macro_f1": 0.5522032750557613, "val_micro_f1": 0.609724723437098, "elapsed_min": 0.6038496414820353}
{"epoch": 40, "loss": 0.0274154962785542, "lr": 0.0009050875364983378, "val_macro_f1": 0.5536894771810157, "val_micro_f1": 0.6167469722620132, "elapsed_min": 0.6185874501864116}
{"epoch": 41, "loss": 0.027226283382624387, "lr": 0.000826030197990147, "val_macro_f1": 0.554699160479494, "val_micro_f1": 0.6186052597147718, "elapsed_min": 0.633083987236023}
{"epoch": 42, "loss": 0.027301653027534484, "lr": 0.0007492533802539477, "val_macro_f1": 0.5529701719015784, "val_micro_f1": 0.6016076362722934, "elapsed_min": 0.6473740140597025}
{"epoch": 43, "loss": 0.02719023881480098, "lr": 0.0006750168717378298, "val_macro_f1": 0.5537165523808301, "val_micro_f1": 0.6076304708434349, "elapsed_min": 0.6614669402440388}
{"epoch": 44, "loss": 0.026969873812049627, "lr": 0.0006035718652876, "val_macro_f1": 0.5520516594031044, "val_micro_f1": 0.600656731497853, "elapsed_min": 0.6755676388740539}
{"epoch": 45, "loss": 0.027061448376625778, "lr": 0.0005351601081897029, "val_macro_f1": 0.5520597662746878, "val_micro_f1": 0.6088182517303257, "elapsed_min": 0.6904259085655212}
{"epoch": 46, "loss": 0.027125212205573915, "lr": 0.000470013084174926, "val_macro_f1": 0.55313818293049, "val_micro_f1": 0.6082843262592686, "elapsed_min": 0.7045742591222127}
{"epoch": 47, "loss": 0.026946972385048867, "lr": 0.0004083512301507304, "val_macro_f1": 0.5532015569565888, "val_micro_f1": 0.6083951881238803, "elapsed_min": 0.7193029205004374}
{"epoch": 48, "loss": 0.026834424026310442, "lr": 0.0003503831903125351, "val_macro_f1": 0.552183824572613, "val_micro_f1": 0.6061986084756483, "elapsed_min": 0.7340410590171814}
{"epoch": 49, "loss": 0.026923397742211818, "lr": 0.0002963051101578025, "val_macro_f1": 0.5532015616640271, "val_micro_f1": 0.5989318097130791, "elapsed_min": 0.7488918304443359}
{"epoch": 50, "loss": 0.026549350004643202, "lr": 0.00024629997279176317, "val_macro_f1": 0.5514060624076403, "val_micro_f1": 0.6007049345417926, "elapsed_min": 0.7642054359118143}
