init from runs/ssl/ssl.pt []
{"epoch": 1, "loss": 0.4411743891239166, "lr": 0.0003135532623851087, "val_macro_f1": 0.3502858964578094, "val_micro_f1": 0.14779385388018654, "elapsed_min": 0.10340509017308554}
{"epoch": 31, "loss": 0.00019048326703341445, "lr": 0.001673277884696508, "val_macro_f1": 0.7840185652905223, "val_micro_f1": 0.8367142499373905, "elapsed_min": 1.056696613629659}
{"epoch": 32, "loss": 0.00011291668950434541, "lr": 0.0015863516950551894, "val_macro_f1": 0.7926430389926258, "val_micro_f1": 0.8486086290528466, "elapsed_min": 1.0886525154113769}
{"epoch": 33, "loss": 0.00026923388166324004, "lr": 0.0014991333389138886, "val_macro_f1": 0.7849047474981453, "val_micro_f1": 0.831767505950144, "elapsed_min": 1.1215542872746787}
{"epoch": 34, "loss": 0.0014383677310252096, "lr": 0.0014119179355814697, "val_macro_f1": 0.7631714162621344, "val_micro_f1": 0.8196048242237619, "elapsed_min": 1.152900477250417}
{"epoch": 35, "loss": 0.0005071071754355216, "lr": 0.0013250005943754228, "val_macro_f1": 0.791857356861767, "val_micro_f1": 0.8423988842398883, "elapsed_min": 1.1831578056017558}
{"epoch": 36, "loss": 0.00015132801861909685, "lr": 0.001238675416065355, "val_macro_f1": 0.7917827055551601, "val_micro_f1": 0.8443384383630429, "elapsed_min": 1.215541402498881}
{"epoch": 37, "loss": 0.00010403555541415698, "lr": 0.001153234497729076, "val_macro_f1": 0.7980603853996019, "val_micro_f1": 0.8465528146742568, "elapsed_min": 1.2483674883842468}
{"epoch": 38, "loss": 0.00010689715039916337, "lr": 0.0010689669443885513, "val_macro_f1": 0.786854233973094, "val_micro_f1": 0.843674353420818, "elapsed_min": 1.2800021012624105}
{"epoch": 39, "loss": 7.336181399296037e-05, "lr": 0.0009861578907700193, "val_macro_f1": 0.7962174779114699, "val_micro_f1": 0.8465327775672604, "elapsed_min": 1.3135306676228842}
{"epoch": 40, "loss": 7.017523264948977e-05, "lr": 0.0009050875364983378, "val_macro_f1": 0.792226003768801, "val_micro_f1": 0.8455222937981558, "elapsed_min": 1.344894810517629}
{"epoch": 41, "loss": 6.837469152742414e-05, "lr": 0.000826030197990147, "val_macro_f1": 0.7904181426559871, "val_micro_f1": 0.8465352828989194, "elapsed_min": 1.377268632253011}
{"epoch": 42, "loss": 5.235815204287064e-05, "lr": 0.0007492533802539477, "val_macro_f1": 0.7922779039458906, "val_micro_f1": 0.8452261306532663, "elapsed_min": 1.4098624229431151}
{"epoch": 43, "loss": 4.645343142328784e-05, "lr": 0.0006750168717378298, "val_macro_f1": 0.7929199362626886, "val_micro_f1": 0.8499486125385405, "elapsed_min": 1.4404013832410176}
{"epoch": 44, "loss": 3.781602719755028e-05, "lr": 0.0006035718652876, "val_macro_f1": 0.792519103308517, "val_micro_f1": 0.8479332574895715, "elapsed_min": 1.472622319062551}
{"epoch": 45, "loss": 3.8024843233870343e-05, "lr": 0.0005351601081897029, "val_macro_f1": 0.7971683066734773, "val_micro_f1": 0.8487607486090035, "elapsed_min": 1.50373930533727}
{"epoch": 46, "loss": 3.968528022596729e-05, "lr": 0.000470013084174926, "val_macro_f1": 0.7970005136967488, "val_micro_f1": 0.8486459124272336, "elapsed_min": 1.5342004537582397}
{"epoch": 47, "loss": 3.480667282929062e-05, "lr": 0.0004083512301507304, "val_macro_f1": 0.7968507466901508, "val_micro_f1": 0.8502749009078123, "elapsed_min": 1.5666493813196818}
{"epoch": 48, "loss": 4.026068187158671e-05, "lr": 0.0003503831903125351, "val_macro_f1": 0.7928343665721124, "val_micro_f1": 0.8474232038588475, "elapsed_min": 1.5998393058776856}
{"epoch": 49, "loss": 3.4399227115500255e-05, "lr": 0.0002963051101578025, "val_macro_f1": 0.7962571417040945, "val_micro_f1": 0.8484771250159298, "elapsed_min": 1.6311558127403258}
{"epoch": 50, "loss": 3.465856257207633e-05, "lr": 0.00024629997279176317, "val_macro_f1": 0.793996685790424, "val_micro_f1": 0.8503677402992645, "elapsed_min": 1.6627281427383422}
{"epoch": 51, "loss": 3.824557532425388e-05, "lr": 0.00020053697977051024, "val_macro_f1": 0.7966308331457377, "val_micro_f1": 0.8500255493101686, "elapsed_min": 1.6941327969233195}
{"epoch": 52, "loss": 4.089082059181237e-05, "lr": 0.00015917097857649434, "val_macro_f1": 0.7962519820138195, "val_micro_f1": 0.8502687484003071, "elapsed_min": 1.7257991353670756}
{"epoch": 53, "loss": 3.162545813211182e-05, "lr": 0.00012234193866365742, "val_macro_f1": 0.7960801127481187, "val_micro_f1": 0.846047505341209, "elapsed_min": 1.757581611474355}
{"epoch": 54, "loss": 3.029248016900965e-05, "lr": 9.017447784510602e-05, "val_macro_f1": 0.7962802042338888, "val_micro_f1": 0.8489576672208723, "elapsed_min": 1.7911849975585938}
{"epoch": 55, "loss": 2.961329630124965e-05, "lr": 6.277744062588095e-05, "val_macro_f1": 0.7954886148507181, "val_micro_f1": 0.8488077118214105, "elapsed_min": 1.823819879690806}
{"epoch": 56, "loss": 2.9548614329542033e-05, "lr": 4.0243529907604444e-05, "val_macro_f1": 0.7934480983443595, "val_micro_f1": 0.8498215196328404, "elapsed_min": 1.8558786153793334}
{"epoch": 57, "loss": 2.766284444987832e-05, "lr": 2.2648993311205557e-05, "val_macro_f1": 0.7955707620537524, "val_micro_f1": 0.8476686570956676, "elapsed_min": 1.8873733282089233}
